id_unico,Fecha_Hora_Extraccion,cupo
0145-1-TEO,2026-08-03 09:00:00,100
0146-1-TEO,2026-08-03 09:00:00,100
0146-2-TEO,2026-08-03 09:00:00,100
0147-1-TEO,2026-08-03 09:00:00,100
0147-1-LAB,2026-08-03 09:00:00,100
0148-1-TEO,2026-08-03 09:00:00,100
0151-1-TEO,2026-08-03 09:00:00,100
0151-2-TEO,2026-08-03 09:00:00,100
0152-1-TEO,2026-08-03 09:00:00,100
0153-1-TEO,2026-08-03 09:00:00,100
0153-2-TEO,2026-08-03 09:00:00,100
0155-1-TEO,2026-08-03 09:00:00,100
0155-2-TEO,2026-08-03 09:00:00,100
0156-1-TEO,2026-08-03 09:00:00,100
0158-1-TEO,2026-08-03 09:00:00,100
0159-1-TEO,2026-08-03 09:00:00,100
0164-1-TEO,2026-08-03 09:00:00,100
0164-2-TEO,2026-08-03 09:00:00,100
0164-3-TEO,2026-08-03 09:00:00,100
0164-4-TEO,2026-08-03 09:00:00,100
0164-5-TEO,2026-08-03 09:00:00,100
0164-6-TEO,2026-08-03 09:00:00,100
0164-7-TEO,2026-08-03 09:00:00,100
0164-8-TEO,2026-08-03 09:00:00,100
0164-9-TEO,2026-08-03 09:00:00,100
0164-1-LAB,2026-08-03 09:00:00,100
0164-2-LAB,2026-08-03 09:00:00,100
0164-3-LAB,2026-08-03 09:00:00,100
0164-4-LAB,2026-08-03 09:00:00,100
0164-5-LAB,2026-08-03 09:00:00,100
0164-6-LAB,2026-08-03 09:00:00,100
0164-7-LAB,2026-08-03 09:00:00,100
0164-8-LAB,2026-08-03 09:00:00,100
0164-9-LAB,2026-08-03 09:00:00,100
0164-10-LAB,2026-08-03 09:00:00,100
0164-11-LAB,2026-08-03 09:00:00,100
0164-12-LAB,2026-08-03 09:00:00,100
0165-1-TEO,2026-08-03 09:00:00,100
0166-1-TEO,2026-08-03 09:00:00,100
0167-1-TEO,2026-08-03 09:00:00,100
0167-1-LAB,2026-08-03 09:00:00,100
0167-2-LAB,2026-08-03 09:00:00,100
0169-1-TEO,2026-08-03 09:00:00,100
0171-1-TEO,2026-08-03 09:00:00,100
0172-1-TEO,2026-08-03 09:00:00,100
0172-2-TEO,2026-08-03 09:00:00,100
0173-1-TEO,2026-08-03 09:00:00,100
0177-1-TEO,2026-08-03 09:00:00,100
0178-1-TEO,2026-08-03 09:00:00,100
0178-1-LAB,2026-08-03 09:00:00,100
0180-1-TEO,2026-08-03 09:00:00,100
0180-1-LAB,2026-08-03 09:00:00,100
0181-1-TEO,2026-08-03 09:00:00,100
0181-1-LAB,2026-08-03 09:00:00,100
0182-1-TEO,2026-08-03 09:00:00,100
0182-2-TEO,2026-08-03 09:00:00,100
0182-1-LAB,2026-08-03 09:00:00,100
0182-2-LAB,2026-08-03 09:00:00,100
0184-1-TEO,2026-08-03 09:00:00,100
0184-1-LAB,2026-08-03 09:00:00,100
0185-1-TEO,2026-08-03 09:00:00,100
0185-2-TEO,2026-08-03 09:00:00,100
0185-1-LAB,2026-08-03 09:00:00,100
0185-2-LAB,2026-08-03 09:00:00,100
0186-1-TEO,2026-08-03 09:00:00,100
0186-1-LAB,2026-08-03 09:00:00,100
0186-2-LAB,2026-08-03 09:00:00,100
0187-1-TEO,2026-08-03 09:00:00,100
0187-2-TEO,2026-08-03 09:00:00,100
0187-1-LAB,2026-08-03 09:00:00,100
0187-2-LAB,2026-08-03 09:00:00,100
0187-3-LAB,2026-08-03 09:00:00,100
0188-1-TEO,2026-08-03 09:00:00,100
0188-1-LAB,2026-08-03 09:00:00,100
0188-2-LAB,2026-08-03 09:00:00,100
0189-1-TEO,2026-08-03 09:00:00,100
0189-2-TEO,2026-08-03 09:00:00,100
0189-1-LAB,2026-08-03 09:00:00,100
0189-2-LAB,2026-08-03 09:00:00,100
0190-1-TEO,2026-08-03 09:00:00,100
0191-1-TEO,2026-08-03 09:00:00,100
0191-2-TEO,2026-08-03 09:00:00,100
0191-3-TEO,2026-08-03 09:00:00,100
0198-1-TEO,2026-08-03 09:00:00,100
0199-1-TEO,2026-08-03 09:00:00,100
0200-1-TEO,2026-08-03 09:00:00,100
0200-2-TEO,2026-08-03 09:00:00,100
0204-1-TEO,2026-08-03 09:00:00,100
0205-1-TEO,2026-08-03 09:00:00,100
0205-2-TEO,2026-08-03 09:00:00,100
0206-1-TEO,2026-08-03 09:00:00,100
0206-2-TEO,2026-08-03 09:00:00,100
0206-3-TEO,2026-08-03 09:00:00,100
0207-1-TEO,2026-08-03 09:00:00,100
0207-2-TEO,2026-08-03 09:00:00,100
0212-1-TEO,2026-08-03 09:00:00,100
0213-1-TEO,2026-08-03 09:00:00,100
0214-1-TEO,2026-08-03 09:00:00,100
0214-2-TEO,2026-08-03 09:00:00,100
0215-1-TEO,2026-08-03 09:00:00,100
0215-2-TEO,2026-08-03 09:00:00,100
0218-1-TEO,2026-08-03 09:00:00,100
0218-1-PRO,2026-08-03 09:00:00,100
0219-1-TEO,2026-08-03 09:00:00,100
0220-1-TEO,2026-08-03 09:00:00,100
0221-1-TEO,2026-08-03 09:00:00,100
0222-1-EXP,2026-08-03 09:00:00,100
0238-1-EXP,2026-08-03 09:00:00,100
0254-1-TEO,2026-08-03 09:00:00,100
0256-1-TEO,2026-08-03 09:00:00,100
0265-1-TEO,2026-08-03 09:00:00,100
0267-1-TEO,2026-08-03 09:00:00,100
0272-1-TEO,2026-08-03 09:00:00,100
0273-1-TEO,2026-08-03 09:00:00,100
0273-2-TEO,2026-08-03 09:00:00,100
0273-1-LAB,2026-08-03 09:00:00,100
0273-2-LAB,2026-08-03 09:00:00,100
0273-3-LAB,2026-08-03 09:00:00,100
0274-1-TEO,2026-08-03 09:00:00,100
0274-1-LAB,2026-08-03 09:00:00,100
0274-2-LAB,2026-08-03 09:00:00,100
0274-3-LAB,2026-08-03 09:00:00,100
0275-1-TEO,2026-08-03 09:00:00,100
0275-1-LAB,2026-08-03 09:00:00,100
0276-1-TEO,2026-08-03 09:00:00,100
0277-1-TEO,2026-08-03 09:00:00,100
0278-1-TEO,2026-08-03 09:00:00,100
0279-1-TEO,2026-08-03 09:00:00,100
0279-1-LAB,2026-08-03 09:00:00,100
0281-1-PRO,2026-08-03 09:00:00,100
0281-1-EXP,2026-08-03 09:00:00,100
0299-1-TEO,2026-08-03 09:00:00,100
0300-1-TEO,2026-08-03 09:00:00,100
0300-2-TEO,2026-08-03 09:00:00,100
0302-1-TEO,2026-08-03 09:00:00,100
0302-1-PRO,2026-08-03 09:00:00,100
0303-1-TEO,2026-08-03 09:00:00,100
0318-1-TEO,2026-08-03 09:00:00,100
0360-1-TEO,2026-08-03 09:00:00,100
0360-1-LAB,2026-08-03 09:00:00,100
0365-1-TEO,2026-08-03 09:00:00,100
0460-1-TEO,2026-08-03 09:00:00,100
0460-1-LAB,2026-08-03 09:00:00,100
1089-1-TEO,2026-08-03 09:00:00,100
1089-2-TEO,2026-08-03 09:00:00,100
1089-3-TEO,2026-08-03 09:00:00,100
1089-4-TEO,2026-08-03 09:00:00,100
1090-1-TEO,2026-08-03 09:00:00,100
1090-2-TEO,2026-08-03 09:00:00,100
1112-1-TEO,2026-08-03 09:00:00,100
1112-2-TEO,2026-08-03 09:00:00,100
1112-3-TEO,2026-08-03 09:00:00,100
1205-1-TEO,2026-08-03 09:00:00,100
1205-2-TEO,2026-08-03 09:00:00,100
1205-3-TEO,2026-08-03 09:00:00,100
1205-4-TEO,2026-08-03 09:00:00,100
1205-5-TEO,2026-08-03 09:00:00,100
1205-6-TEO,2026-08-03 09:00:00,100
1205-7-TEO,2026-08-03 09:00:00,100
1205-8-TEO,2026-08-03 09:00:00,100
1206-1-TEO,2026-08-03 09:00:00,100
1206-2-TEO,2026-08-03 09:00:00,100
1206-3-TEO,2026-08-03 09:00:00,100
1206-4-TEO,2026-08-03 09:00:00,100
1206-5-TEO,2026-08-03 09:00:00,100
1206-6-TEO,2026-08-03 09:00:00,100
1206-7-TEO,2026-08-03 09:00:00,100
1206-8-TEO,2026-08-03 09:00:00,100
1206-9-TEO,2026-08-03 09:00:00,100
1206-10-TEO,2026-08-03 09:00:00,100
1206-11-TEO,2026-08-03 09:00:00,100
1209-1-TEO,2026-08-03 09:00:00,100
1209-2-TEO,2026-08-03 09:00:00,100
1209-3-TEO,2026-08-03 09:00:00,100
1209-4-TEO,2026-08-03 09:00:00,100
1209-5-TEO,2026-08-03 09:00:00,100
1209-6-TEO,2026-08-03 09:00:00,100
1209-7-TEO,2026-08-03 09:00:00,100
1209-8-TEO,2026-08-03 09:00:00,100
1209-9-TEO,2026-08-03 09:00:00,100
1209-10-TEO,2026-08-03 09:00:00,100
1209-11-TEO,2026-08-03 09:00:00,100
1209-12-TEO,2026-08-03 09:00:00,100
1209-13-TEO,2026-08-03 09:00:00,100
1210-1-EXP,2026-08-03 09:00:00,100
1210-2-EXP,2026-08-03 09:00:00,100
1210-3-EXP,2026-08-03 09:00:00,100
1210-4-EXP,2026-08-03 09:00:00,100
1210-5-EXP,2026-08-03 09:00:00,100
1210-6-EXP,2026-08-03 09:00:00,100
1210-7-EXP,2026-08-03 09:00:00,100
1210-8-EXP,2026-08-03 09:00:00,100
1210-9-EXP,2026-08-03 09:00:00,100
1210-10-EXP,2026-08-03 09:00:00,100
1210-11-EXP,2026-08-03 09:00:00,100
1210-12-EXP,2026-08-03 09:00:00,100
1210-13-EXP,2026-08-03 09:00:00,100
1210-14-EXP,2026-08-03 09:00:00,100
1210-15-EXP,2026-08-03 09:00:00,100
1210-16-EXP,2026-08-03 09:00:00,100
1210-17-EXP,2026-08-03 09:00:00,100
1210-18-EXP,2026-08-03 09:00:00,100
1210-19-EXP,2026-08-03 09:00:00,100
1210-20-EXP,2026-08-03 09:00:00,100
1210-21-EXP,2026-08-03 09:00:00,100
1210-22-EXP,2026-08-03 09:00:00,100
1210-23-EXP,2026-08-03 09:00:00,100
1210-24-EXP,2026-08-03 09:00:00,100
1210-25-EXP,2026-08-03 09:00:00,100
1210-26-EXP,2026-08-03 09:00:00,100
1210-27-EXP,2026-08-03 09:00:00,100
1210-28-EXP,2026-08-03 09:00:00,100
1210-29-EXP,2026-08-03 09:00:00,100
1211-1-TEO,2026-08-03 09:00:00,100
1211-2-TEO,2026-08-03 09:00:00,100
1211-3-TEO,2026-08-03 09:00:00,100
1211-4-TEO,2026-08-03 09:00:00,100
1211-5-TEO,2026-08-03 09:00:00,100
1211-6-TEO,2026-08-03 09:00:00,100
1211-7-TEO,2026-08-03 09:00:00,100
1211-8-TEO,2026-08-03 09:00:00,100
1211-9-TEO,2026-08-03 09:00:00,100
1211-10-TEO,2026-08-03 09:00:00,100
1211-11-TEO,2026-08-03 09:00:00,100
1211-12-TEO,2026-08-03 09:00:00,100
1211-13-TEO,2026-08-03 09:00:00,100
1211-14-TEO,2026-08-03 09:00:00,100
1211-1-LAB,2026-08-03 09:00:00,100
1211-2-LAB,2026-08-03 09:00:00,100
1211-3-LAB,2026-08-03 09:00:00,100
1211-4-LAB,2026-08-03 09:00:00,100
1211-5-LAB,2026-08-03 09:00:00,100
1211-6-LAB,2026-08-03 09:00:00,100
1211-7-LAB,2026-08-03 09:00:00,100
1211-8-LAB,2026-08-03 09:00:00,100
1211-9-LAB,2026-08-03 09:00:00,100
1211-10-LAB,2026-08-03 09:00:00,100
1211-11-LAB,2026-08-03 09:00:00,100
1211-12-LAB,2026-08-03 09:00:00,100
1211-13-LAB,2026-08-03 09:00:00,100
1211-14-LAB,2026-08-03 09:00:00,100
1211-15-LAB,2026-08-03 09:00:00,100
1211-16-LAB,2026-08-03 09:00:00,100
1211-17-LAB,2026-08-03 09:00:00,100
1211-18-LAB,2026-08-03 09:00:00,100
1211-19-LAB,2026-08-03 09:00:00,100
1211-20-LAB,2026-08-03 09:00:00,100
1211-21-LAB,2026-08-03 09:00:00,100
1211-22-LAB,2026-08-03 09:00:00,100
1211-23-LAB,2026-08-03 09:00:00,100
1212-1-TEO,2026-08-03 09:00:00,100
1212-2-TEO,2026-08-03 09:00:00,100
1212-3-TEO,2026-08-03 09:00:00,100
1212-4-TEO,2026-08-03 09:00:00,100
1212-5-TEO,2026-08-03 09:00:00,100
1212-6-TEO,2026-08-03 09:00:00,100
1212-7-TEO,2026-08-03 09:00:00,100
1212-8-TEO,2026-08-03 09:00:00,100
1212-10-TEO,2026-08-03 09:00:00,100
1212-11-TEO,2026-08-03 09:00:00,100
1212-12-TEO,2026-08-03 09:00:00,100
1212-13-TEO,2026-08-03 09:00:00,100
1212-1-LAB,2026-08-03 09:00:00,100
1212-2-LAB,2026-08-03 09:00:00,100
1212-3-LAB,2026-08-03 09:00:00,100
1212-4-LAB,2026-08-03 09:00:00,100
1212-5-LAB,2026-08-03 09:00:00,100
1212-6-LAB,2026-08-03 09:00:00,100
1212-7-LAB,2026-08-03 09:00:00,100
1212-8-LAB,2026-08-03 09:00:00,100
1212-9-LAB,2026-08-03 09:00:00,100
1212-10-LAB,2026-08-03 09:00:00,100
1212-11-LAB,2026-08-03 09:00:00,100
1212-12-LAB,2026-08-03 09:00:00,100
1212-13-LAB,2026-08-03 09:00:00,100
1212-14-LAB,2026-08-03 09:00:00,100
1212-15-LAB,2026-08-03 09:00:00,100
1212-16-LAB,2026-08-03 09:00:00,100
1212-17-LAB,2026-08-03 09:00:00,100
1212-18-LAB,2026-08-03 09:00:00,100
1212-19-LAB,2026-08-03 09:00:00,100
1212-20-LAB,2026-08-03 09:00:00,100
1212-21-LAB,2026-08-03 09:00:00,100
1212-22-LAB,2026-08-03 09:00:00,100
1212-23-LAB,2026-08-03 09:00:00,100
1212-24-LAB,2026-08-03 09:00:00,100
1212-25-LAB,2026-08-03 09:00:00,100
1212-26-LAB,2026-08-03 09:00:00,100
1212-27-LAB,2026-08-03 09:00:00,100
1212-28-LAB,2026-08-03 09:00:00,100
1212-29-LAB,2026-08-03 09:00:00,100
1212-30-LAB,2026-08-03 09:00:00,100
1212-31-LAB,2026-08-03 09:00:00,100
1212-32-LAB,2026-08-03 09:00:00,100
1212-33-LAB,2026-08-03 09:00:00,100
1214-1-TEO,2026-08-03 09:00:00,100
1214-2-TEO,2026-08-03 09:00:00,100
1214-3-TEO,2026-08-03 09:00:00,100
1214-4-TEO,2026-08-03 09:00:00,100
1214-5-TEO,2026-08-03 09:00:00,100
1214-6-TEO,2026-08-03 09:00:00,100
1214-7-TEO,2026-08-03 09:00:00,100
1214-8-TEO,2026-08-03 09:00:00,100
1214-9-TEO,2026-08-03 09:00:00,100
1300-1-TEO,2026-08-03 09:00:00,100
1300-1-PRO,2026-08-03 09:00:00,100
1307-1-TEO,2026-08-03 09:00:00,100
1307-2-TEO,2026-08-03 09:00:00,100
1307-3-TEO,2026-08-03 09:00:00,100
1307-4-TEO,2026-08-03 09:00:00,100
1307-5-TEO,2026-08-03 09:00:00,100
1307-6-TEO,2026-08-03 09:00:00,100
1307-7-TEO,2026-08-03 09:00:00,100
1307-8-TEO,2026-08-03 09:00:00,100
1307-9-TEO,2026-08-03 09:00:00,100
1307-10-TEO,2026-08-03 09:00:00,100
1307-11-TEO,2026-08-03 09:00:00,100
1307-12-TEO,2026-08-03 09:00:00,100
1307-13-TEO,2026-08-03 09:00:00,100
1307-14-TEO,2026-08-03 09:00:00,100
1307-15-TEO,2026-08-03 09:00:00,100
1307-16-TEO,2026-08-03 09:00:00,100
1308-1-TEO,2026-08-03 09:00:00,100
1308-2-TEO,2026-08-03 09:00:00,100
1308-3-TEO,2026-08-03 09:00:00,100
1308-4-TEO,2026-08-03 09:00:00,100
1308-5-TEO,2026-08-03 09:00:00,100
1308-6-TEO,2026-08-03 09:00:00,100
1308-7-TEO,2026-08-03 09:00:00,100
1308-8-TEO,2026-08-03 09:00:00,100
1308-9-TEO,2026-08-03 09:00:00,100
1308-10-TEO,2026-08-03 09:00:00,100
1308-11-TEO,2026-08-03 09:00:00,100
1308-12-TEO,2026-08-03 09:00:00,100
1308-13-TEO,2026-08-03 09:00:00,100
1308-14-TEO,2026-08-03 09:00:00,100
1308-15-TEO,2026-08-03 09:00:00,100
1308-16-TEO,2026-08-03 09:00:00,100
1308-17-TEO,2026-08-03 09:00:00,100
1308-1-LAB,2026-08-03 09:00:00,100
1308-2-LAB,2026-08-03 09:00:00,100
1308-3-LAB,2026-08-03 09:00:00,100
1308-4-LAB,2026-08-03 09:00:00,100
1308-5-LAB,2026-08-03 09:00:00,100
1308-6-LAB,2026-08-03 09:00:00,100
1308-7-LAB,2026-08-03 09:00:00,100
1308-8-LAB,2026-08-03 09:00:00,100
1308-9-LAB,2026-08-03 09:00:00,100
1308-10-LAB,2026-08-03 09:00:00,100
1308-11-LAB,2026-08-03 09:00:00,100
1308-12-LAB,2026-08-03 09:00:00,100
1308-13-LAB,2026-08-03 09:00:00,100
1308-14-LAB,2026-08-03 09:00:00,100
1308-15-LAB,2026-08-03 09:00:00,100
1308-16-LAB,2026-08-03 09:00:00,100
1308-17-LAB,2026-08-03 09:00:00,100
1308-18-LAB,2026-08-03 09:00:00,100
1308-19-LAB,2026-08-03 09:00:00,100
1308-20-LAB,2026-08-03 09:00:00,100
1308-21-LAB,2026-08-03 09:00:00,100
1308-22-LAB,2026-08-03 09:00:00,100
1308-23-LAB,2026-08-03 09:00:00,100
1308-24-LAB,2026-08-03 09:00:00,100
1308-25-LAB,2026-08-03 09:00:00,100
1308-26-LAB,2026-08-03 09:00:00,100
1308-27-LAB,2026-08-03 09:00:00,100
1308-28-LAB,2026-08-03 09:00:00,100
1308-29-LAB,2026-08-03 09:00:00,100
1308-30-LAB,2026-08-03 09:00:00,100
1308-31-LAB,2026-08-03 09:00:00,100
1308-32-LAB,2026-08-03 09:00:00,100
1308-33-LAB,2026-08-03 09:00:00,100
1308-34-LAB,2026-08-03 09:00:00,100
1308-35-LAB,2026-08-03 09:00:00,100
1308-36-LAB,2026-08-03 09:00:00,100
1308-37-LAB,2026-08-03 09:00:00,100
1308-38-LAB,2026-08-03 09:00:00,100
1308-39-LAB,2026-08-03 09:00:00,100
1308-40-LAB,2026-08-03 09:00:00,100
1308-41-LAB,2026-08-03 09:00:00,100
1308-42-LAB,2026-08-03 09:00:00,100
1308-43-LAB,2026-08-03 09:00:00,100
1308-44-LAB,2026-08-03 09:00:00,100
1308-45-LAB,2026-08-03 09:00:00,100
1308-46-LAB,2026-08-03 09:00:00,100
1308-47-LAB,2026-08-03 09:00:00,100
1308-48-LAB,2026-08-03 09:00:00,100
1309-1-TEO,2026-08-03 09:00:00,100
1309-2-TEO,2026-08-03 09:00:00,100
1309-3-TEO,2026-08-03 09:00:00,100
1309-4-TEO,2026-08-03 09:00:00,100
1309-1-LAB,2026-08-03 09:00:00,100
1309-2-LAB,2026-08-03 09:00:00,100
1309-3-LAB,2026-08-03 09:00:00,100
1309-4-LAB,2026-08-03 09:00:00,100
1309-5-LAB,2026-08-03 09:00:00,100
1309-6-LAB,2026-08-03 09:00:00,100
1309-7-LAB,2026-08-03 09:00:00,100
1309-8-LAB,2026-08-03 09:00:00,100
1309-9-LAB,2026-08-03 09:00:00,100
1310-1-TEO,2026-08-03 09:00:00,100
1310-2-TEO,2026-08-03 09:00:00,100
1310-3-TEO,2026-08-03 09:00:00,100
1310-4-TEO,2026-08-03 09:00:00,100
1310-5-TEO,2026-08-03 09:00:00,100
1310-6-TEO,2026-08-03 09:00:00,100
1310-7-TEO,2026-08-03 09:00:00,100
1310-8-TEO,2026-08-03 09:00:00,100
1310-9-TEO,2026-08-03 09:00:00,100
1310-10-TEO,2026-08-03 09:00:00,100
1310-11-TEO,2026-08-03 09:00:00,100
1310-12-TEO,2026-08-03 09:00:00,100
1310-13-TEO,2026-08-03 09:00:00,100
1310-14-TEO,2026-08-03 09:00:00,100
1310-15-TEO,2026-08-03 09:00:00,100
1310-16-TEO,2026-08-03 09:00:00,100
1310-17-TEO,2026-08-03 09:00:00,100
1310-18-TEO,2026-08-03 09:00:00,100
1310-19-TEO,2026-08-03 09:00:00,100
1310-20-TEO,2026-08-03 09:00:00,100
1310-1-LAB,2026-08-03 09:00:00,100
1310-2-LAB,2026-08-03 09:00:00,100
1310-3-LAB,2026-08-03 09:00:00,100
1310-4-LAB,2026-08-03 09:00:00,100
1310-5-LAB,2026-08-03 09:00:00,100
1310-6-LAB,2026-08-03 09:00:00,100
1310-7-LAB,2026-08-03 09:00:00,100
1310-8-LAB,2026-08-03 09:00:00,100
1310-9-LAB,2026-08-03 09:00:00,100
1310-10-LAB,2026-08-03 09:00:00,100
1310-11-LAB,2026-08-03 09:00:00,100
1310-12-LAB,2026-08-03 09:00:00,100
1310-13-LAB,2026-08-03 09:00:00,100
1310-14-LAB,2026-08-03 09:00:00,100
1310-15-LAB,2026-08-03 09:00:00,100
